#SampleID	SRR3931522	SRR3931523	SRR3931524	SRR3931525	SRR3931526	SRR3931527	SRR3931528	SRR3931529	SRR3931530	SRR3931531	SRR3931532	SRR3931533	SRR3931534	SRR3931535	SRR3931536	SRR3931537	SRR3931538	SRR3931539	SRR3931540	SRR3931541	SRR3931542	SRR3931543	SRR3931544	SRR3931545	SRR3931546	SRR3931547	SRR3931548	SRR3931549	SRR3931550	SRR3931551	SRR3931552	SRR3931553	SRR3931554	SRR3931555	SRR3931556	SRR3931557	SRR3931558
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Streptosporangiales;f__Thermomonosporaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae	1.0	1.0	1.0	1.0	1.0	2.0	0	6.0	0	0	4.0	0	0	10.0	2.0	1.0	0	0	2.0	0	0	5.0	10.0	0	0	0	0	0	0	19.0	0	0	0	0	0	1.0	0
sk__Bacteria;k__;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium	2.0	9.0	0	2.0	1.0	21.0	0	11.0	2.0	0	5.0	0	0	20.0	5.0	1.0	0	0	7.0	1.0	0	19.0	18.0	5.0	0	1.0	14.0	0	0	19.0	3.0	0	0	0	1.0	1.0	1.0
sk__Bacteria;k__;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella	2.0	1.0	0	7.0	0	2.0	0	1.0	1.0	0	1.0	0	0	0	7.0	0	0	0	1.0	0	0	2.0	3.0	0	0	0	3.0	2.0	0	6.0	0	0	0	1.0	1.0	0	1.0
sk__Bacteria;k__;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Cryptobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Enterorhabdus	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Rubrobacteria;o__Gaiellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes	0	10.0	0	2.0	0	0	0	3.0	8.0	0	3.0	1.0	0	0	2.0	1.0	0	1.0	0	0	2.0	0	5.0	0	2.0	0	0	0	0	1.0	0	0	0	0	1.0	1.0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia	1.0	2.0	0	6.0	0	0	0	10.0	8.0	4.0	4.0	1.0	0	0	2.0	6.0	0	1.0	0	0	0	2.0	6.0	0	0	0	9.0	0	0	8.0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__;f__;g__;s__Bacteroidia_bacterium_feline_oral_taxon_115	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	39.0	224.0	0	23.0	3.0	15.0	0	152.0	404.0	31.0	22.0	3.0	7.0	37.0	15.0	129.0	0	2.0	171.0	8.0	8.0	43.0	244.0	5.0	4.0	1.0	76.0	6.0	4.0	158.0	6.0	38.0	2.0	2.0	2.0	10.0	3.0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__Bacteroidales_genomosp._P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0	0	0	0	0	0	0	20.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__Bacteroidales_genomosp._P2_oral_clone_MB1_G13	1.0	0	0	1.0	0	0	0	51.0	0	16.0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	21.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__Bacteroidales_genomosp._P3_oral_clone_MB1_G34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__Bacteroidales_genomosp._P4_oral_clone_MB2_G17	0	0	0	0	0	0	0	45.0	0	7.0	0	0	0	0	0	0	0	0	0	0	0	0	31.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__Phocaeicola	2.0	6.0	0	0	0	0	0	5.0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	1.0	6.0	0	6.0	0	0	0	30.0	11.0	3.0	3.0	3.0	0	1.0	1.0	29.0	0	1.0	0	0	1.0	2.0	11.0	0	0	0	18.0	2.0	0	52.0	0	1.0	0	0	0	1.0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1.0	2.0	0	0	1.0	0	0	0	5.0	0	0	0	0	0	0	7.0	0	1.0	0	0	0	2.0	17.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_sp._feline_oral_taxon_308	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae	2.0	8.0	0	11.0	27.0	0	0	3.0	29.0	34.0	60.0	13.0	3.0	25.0	56.0	4.0	0	6.0	135.0	0	71.0	0	32.0	0	1.0	0	61.0	9.0	0	70.0	0	25.0	0	0	0	9.0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae	85.0	54.0	0	38.0	1.0	0	60.0	172.0	273.0	205.0	294.0	325.0	29.0	19.0	598.0	57.0	1.0	8.0	60.0	28.0	35.0	143.0	18.0	23.0	181.0	1.0	144.0	42.0	4.0	225.0	0	64.0	3.0	5.0	279.0	17.0	202.0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	0	3.0	0	3.0	3.0	1.0	0	3.0	4.0	6.0	3.0	3.0	2.0	3.0	1.0	10.0	1.0	0	0	0	9.0	5.0	6.0	2.0	2.0	2.0	2.0	2.0	7.0	3.0	0	4.0	0	2.0	0	7.0	1.0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	181.0	55.0	6.0	213.0	423.0	51.0	294.0	176.0	383.0	344.0	341.0	170.0	116.0	194.0	135.0	343.0	62.0	36.0	123.0	108.0	773.0	82.0	310.0	367.0	410.0	260.0	31.0	159.0	609.0	295.0	105.0	390.0	113.0	84.0	22.0	234.0	45.0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	924.0	1591.0	11.0	798.0	327.0	490.0	354.0	2582.0	1321.0	652.0	839.0	30.0	195.0	3344.0	746.0	1044.0	20.0	15.0	726.0	290.0	81.0	1474.0	1974.0	542.0	256.0	30.0	683.0	86.0	20.0	1355.0	191.0	482.0	262.0	72.0	431.0	102.0	436.0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	16.0	165.0	2.0	105.0	12.0	160.0	8.0	157.0	171.0	140.0	313.0	11.0	36.0	446.0	153.0	84.0	2.0	3.0	61.0	2.0	31.0	219.0	207.0	41.0	61.0	8.0	100.0	46.0	10.0	185.0	37.0	55.0	8.0	3.0	1.0	11.0	118.0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella;s__Alloprevotella_tannerae	0	0	0	2.0	0	0	0	2.0	0	0	3.0	0	0	0	3.0	0	0	0	1.0	0	0	2.0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	605.0	1896.0	6.0	1166.0	230.0	1577.0	129.0	3580.0	3720.0	2077.0	1600.0	32.0	164.0	2668.0	932.0	1790.0	11.0	36.0	740.0	532.0	94.0	2534.0	5100.0	495.0	546.0	14.0	1094.0	198.0	12.0	1913.0	1116.0	536.0	53.0	48.0	370.0	141.0	434.0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_aurantiaca	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_enoeca	1.0	2.0	0	1.0	0	17.0	0	36.0	0	0	6.0	0	0	3.0	0	1.0	0	2.0	1.0	0	0	0	33.0	0	0	0	0	0	0	5.0	0	0	0	1.0	0	2.0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_intermedia	4.0	11.0	0	11.0	2.0	0	0	12.0	36.0	7.0	13.0	0	0	0	1.0	13.0	0	0	1.0	2.0	1.0	8.0	33.0	1.0	5.0	0	1.0	0	0	2.0	12.0	5.0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_micans	0	0	0	1.0	0	0	0	0	2.0	4.0	2.0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	2.0	0	2.0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_nigrescens	0	2.0	0	3.0	0	18.0	0	34.0	8.0	24.0	1.0	0	0	12.0	1.0	31.0	0	0	3.0	2.0	0	40.0	56.0	4.0	0	0	5.0	2.0	0	24.0	4.0	0	0	0	1.0	0	1.0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_sp._oral_clone_BS041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_sp._oral_clone_FX046	3.0	18.0	0	2.0	0	0	0	35.0	19.0	0	10.0	13.0	2.0	4.0	0	17.0	0	2.0	5.0	0	8.0	4.0	11.0	0	0	0	7.0	0	0	17.0	1.0	3.0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_sp._oral_clone_IK053	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_veroralis	0	0	0	0	0	0	0	2.0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	2.0	1.0	0	6.0	0	0	0	13.0	12.0	4.0	9.0	0	2.0	0	1.0	7.0	0	0	2.0	1.0	0	2.0	36.0	0	0	0	4.0	13.0	0	10.0	0	4.0	0	0	0	3.0	3.0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	0	0	0	1.0	1.0	0	0	7.0	3.0	2.0	1.0	0	1.0	0	2.0	1.0	0	1.0	3.0	0	0	2.0	2.0	0	0	0	0	0	1.0	3.0	0	1.0	1.0	0	2.0	0	1.0
sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerella	33.0	0	0	19.0	19.0	0	206.0	347.0	151.0	59.0	212.0	26.0	7.0	50.0	104.0	37.0	5.0	10.0	34.0	7.0	0	139.0	47.0	53.0	10.0	0	106.0	14.0	35.0	103.0	0	52.0	74.0	2.0	65.0	39.0	98.0
sk__Bacteria;k__;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0	15.0	2.0	0	3.0	1.0	2.0	1.0	1.0	2.0	0	4.0	5.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	8.0	1.0	0	10.0	3.0	1.0	1.0	5.0	2.0	1.0	1.0	1.0	3.0	2.0	3.0	3.0	1.0
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	15.0	38.0	2.0	59.0	8.0	1.0	2.0	1.0	6.0	3.0	7.0	4.0	32.0	34.0	8.0	11.0	8.0	12.0	9.0	2.0	28.0	3.0	0	11.0	110.0	4.0	6.0	7.0	12.0	4.0	0	2.0	4.0	13.0	7.0	21.0	9.0
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Bergeyella	267.0	250.0	41.0	34.0	20.0	44.0	54.0	14.0	24.0	90.0	190.0	73.0	310.0	15.0	35.0	68.0	62.0	101.0	55.0	47.0	304.0	17.0	14.0	30.0	75.0	62.0	17.0	158.0	50.0	27.0	26.0	91.0	103.0	86.0	24.0	207.0	5.0
